DATE,consumer_loans
22/04/2009,372.7252
29/04/2009,374.0951
06/05/2009,365.6811
13/05/2009,357.8046
20/05/2009,367.1142
27/05/2009,369.468
03/06/2009,363.0715
10/06/2009,358.4262
17/06/2009,357.6396
24/06/2009,357.6885
01/07/2009,356.0962
08/07/2009,355.1081
15/07/2009,356.2211
22/07/2009,359.2484
29/07/2009,357.7418
05/08/2009,352.959
12/08/2009,354.0659
19/08/2009,357.9163
26/08/2009,357.7567
02/09/2009,350.5042
09/09/2009,354.5428
16/09/2009,355.406
23/09/2009,351.1747
30/09/2009,343.652
07/10/2009,344.7942
14/10/2009,344.577
21/10/2009,348.3198
28/10/2009,347.5533
04/11/2009,343.3529
11/11/2009,342.3821
18/11/2009,346.0663
25/11/2009,345.9679
02/12/2009,340.2459
09/12/2009,338.7413
16/12/2009,337.8796
23/12/2009,333.0749
30/12/2009,332.2796
06/01/2010,326.2137
13/01/2010,324.5044
20/01/2010,323.8428
27/01/2010,322.9595
03/02/2010,318.6666
10/02/2010,318.1185
17/02/2010,319.3729
24/02/2010,318.1209
03/03/2010,313.2159
10/03/2010,312.1973
17/03/2010,315.3055
24/03/2010,321.1847
31/03/2010,650.6726
07/04/2010,650.6913
14/04/2010,649.4339
21/04/2010,647.7623
28/04/2010,646.7672
05/05/2010,643.9278
12/05/2010,642.5637
19/05/2010,641.8457
26/05/2010,639.1814
02/06/2010,634.9656
09/06/2010,635.4455
16/06/2010,632.5833
23/06/2010,632.1292
30/06/2010,627.9397
07/07/2010,628.217
14/07/2010,628.1378
21/07/2010,627.1727
28/07/2010,625.7478
04/08/2010,624.3333
11/08/2010,623.1772
18/08/2010,621.9283
25/08/2010,620.788
01/09/2010,618.704
08/09/2010,617.8311
15/09/2010,617.5152
22/09/2010,614.9891
29/09/2010,616.3695
06/10/2010,613.2294
13/10/2010,613.1988
20/10/2010,612.8481
27/10/2010,610.7233
03/11/2010,609.4648
10/11/2010,609.1466
17/11/2010,608.487
24/11/2010,607.672
01/12/2010,606.0811
08/12/2010,607.8991
15/12/2010,607.4123
22/12/2010,606.7497
29/12/2010,606.1666
05/01/2011,605.4252
12/01/2011,603.556
19/01/2011,604.7938
26/01/2011,603.1027
02/02/2011,602.3754
09/02/2011,601.1003
16/02/2011,599.9264
23/02/2011,600.6926
02/03/2011,599.7717
09/03/2011,600.0853
16/03/2011,600.6586
23/03/2011,600.5955
30/03/2011,601.2166
06/04/2011,598.7887
13/04/2011,597.7971
20/04/2011,598.6766
27/04/2011,597.6663
04/05/2011,596.7412
11/05/2011,596.5027
18/05/2011,596.6118
25/05/2011,595.8695
01/06/2011,599.271
08/06/2011,599.5595
15/06/2011,599.464
22/06/2011,600.0211
29/06/2011,601.1275
06/07/2011,601.6584
13/07/2011,600.7026
20/07/2011,600.9836
27/07/2011,600.6823
03/08/2011,600.4478
10/08/2011,600.1536
17/08/2011,599.8955
24/08/2011,599.9147
31/08/2011,600.0633
07/09/2011,599.6277
14/09/2011,599.9873
21/09/2011,599.6869
28/09/2011,600.6774
05/10/2011,602.5694
12/10/2011,601.8011
19/10/2011,601.8565
26/10/2011,601.5967
02/11/2011,600.9426
09/11/2011,601.4694
16/11/2011,601.6316
23/11/2011,601.5207
30/11/2011,602.7406
07/12/2011,601.2017
14/12/2011,601.4208
21/12/2011,600.9571
28/12/2011,602.1291
04/01/2012,603.6114
11/01/2012,601.5374
18/01/2012,601.0591
25/01/2012,598.582
01/02/2012,599.9081
08/02/2012,598.7989
15/02/2012,597.8252
22/02/2012,597.1938
29/02/2012,600.0207
07/03/2012,599.8597
14/03/2012,600.6468
21/03/2012,600.0848
28/03/2012,601.1745
04/04/2012,601.7813
11/04/2012,599.8781
18/04/2012,599.1129
25/04/2012,598.1175
02/05/2012,609.7052
09/05/2012,608.4568
16/05/2012,608.0387
23/05/2012,607.5125
30/05/2012,611.3142
06/06/2012,609.8292
13/06/2012,609.7396
20/06/2012,608.6769
27/06/2012,607.7997
04/07/2012,608.51
11/07/2012,607.3413
18/07/2012,606.855
25/07/2012,605.9229
01/08/2012,607.462
08/08/2012,607.4376
15/08/2012,607.3074
22/08/2012,607.3996
29/08/2012,608.8207
05/09/2012,608.425
12/09/2012,606.865
19/09/2012,607.0032
26/09/2012,606.4735
03/10/2012,608.4552
10/10/2012,608.4165
17/10/2012,607.5183
24/10/2012,607.3801
31/10/2012,609.7268
07/11/2012,609.2806
14/11/2012,609.4459
21/11/2012,607.9337
28/11/2012,609.3518
05/12/2012,606.5981
12/12/2012,606.1533
19/12/2012,606.4617
26/12/2012,607.3178
02/01/2013,608.4065
09/01/2013,607.2911
16/01/2013,606.1852
23/01/2013,606.8198
30/01/2013,608.7855
06/02/2013,608.0614
13/02/2013,608.2226
20/02/2013,607.6991
27/02/2013,609.4093
06/03/2013,607.7027
13/03/2013,613.2971
20/03/2013,612.5106
27/03/2013,612.4522
03/04/2013,612.3986
10/04/2013,612.0694
17/04/2013,612.3703
24/04/2013,611.8903
01/05/2013,612.123
08/05/2013,612.4001
15/05/2013,612.5737
22/05/2013,613.3582
29/05/2013,614.8778
05/06/2013,614.6924
12/06/2013,615.3296
19/06/2013,615.1892
26/06/2013,615.1543
03/07/2013,613.0957
10/07/2013,613.1929
17/07/2013,612.0245
24/07/2013,610.7297
31/07/2013,610.9863
07/08/2013,611.035
14/08/2013,611.5305
21/08/2013,611.4625
28/08/2013,611.659
04/09/2013,612.424
11/09/2013,611.6263
18/09/2013,611.677
25/09/2013,611.3485
02/10/2013,613.0487
09/10/2013,613.1497
16/10/2013,613.4434
23/10/2013,613.8156
30/10/2013,615.5516
06/11/2013,615.214
13/11/2013,615.6282
20/11/2013,599.1201
27/11/2013,597.7758
04/12/2013,599.4458
11/12/2013,599.8694
18/12/2013,599.6272
25/12/2013,601.0491
01/01/2014,600.0738
08/01/2014,600.5827
15/01/2014,599.3825
22/01/2014,600.0425
29/01/2014,601.3014
05/02/2014,601.4534
12/02/2014,600.895
19/02/2014,602.7956
26/02/2014,603.3597
05/03/2014,603.0309
12/03/2014,603.4891
19/03/2014,604.3745
26/03/2014,604.1487
02/04/2014,603.9773
09/04/2014,604.8803
16/04/2014,606.5831
23/04/2014,607.2655
30/04/2014,608.4063
07/05/2014,608.7884
14/05/2014,610.465
21/05/2014,610.1594
28/05/2014,609.9878
04/06/2014,610.4741
11/06/2014,611.7145
18/06/2014,611.3869
25/06/2014,610.9066
02/07/2014,611.4527
09/07/2014,612.5979
16/07/2014,612.8781
23/07/2014,613.0913
30/07/2014,614.5272
06/08/2014,613.7567
13/08/2014,614.5474
20/08/2014,615.1723
27/08/2014,615.6474
03/09/2014,617.9089
10/09/2014,616.955
17/09/2014,617.5219
24/09/2014,617.2728
01/10/2014,618.6529
08/10/2014,618.0232
15/10/2014,617.9974
22/10/2014,619.0287
29/10/2014,619.3122
05/11/2014,620.0843
12/11/2014,622.2838
19/11/2014,622.6614
26/11/2014,620.8921
03/12/2014,621.0668
10/12/2014,623.0766
17/12/2014,622.3172
24/12/2014,625.1859
31/12/2014,623.4235
07/01/2015,624.5211
14/01/2015,625.7922
21/01/2015,625.8431
28/01/2015,625.7173
04/02/2015,625.6229
11/02/2015,627.3325
18/02/2015,627.4143
25/02/2015,625.442
04/03/2015,626.0563
11/03/2015,626.4609
18/03/2015,626.8278
25/03/2015,627.6763
01/04/2015,630.5444
08/04/2015,631.7306
15/04/2015,631.6501
22/04/2015,632.5246
29/04/2015,633.8395
06/05/2015,634.1614
13/05/2015,634.9745
20/05/2015,634.6789
27/05/2015,634.9938
03/06/2015,634.5442
10/06/2015,636.4693
17/06/2015,636.0472
24/06/2015,638.465
01/07/2015,639.167
08/07/2015,640.1074
15/07/2015,640.1455
22/07/2015,641.4975
29/07/2015,642.7529
05/08/2015,643.9447
12/08/2015,644.8707
19/08/2015,645.7448
26/08/2015,645.5946
02/09/2015,646.6985
09/09/2015,649.2648
16/09/2015,648.871
23/09/2015,648.9786
30/09/2015,651.0252
07/10/2015,652.188
14/10/2015,653.4744
21/10/2015,653.8325
28/10/2015,653.2647
04/11/2015,654.6388
11/11/2015,655.1233
18/11/2015,656.2407
25/11/2015,656.0776
02/12/2015,656.3755
09/12/2015,657.8332
16/12/2015,658.3104
23/12/2015,659.1462
30/12/2015,660.1669
06/01/2016,663.8659
13/01/2016,663.7493
20/01/2016,665.3657
27/01/2016,663.9477
03/02/2016,664.2723
10/02/2016,664.702
17/02/2016,664.8839
24/02/2016,663.8514
02/03/2016,665.3827
09/03/2016,669.6943
16/03/2016,670.3684
23/03/2016,672.1199
30/03/2016,674.3169
06/04/2016,674.0638
13/04/2016,673.4681
20/04/2016,675.6202
27/04/2016,676.2228
04/05/2016,677.3287
11/05/2016,677.4699
18/05/2016,678.4914
25/05/2016,677.4928
01/06/2016,679.3833
08/06/2016,681.3718
15/06/2016,682.5113
22/06/2016,692.4083
29/06/2016,694.1422
06/07/2016,695.9532
13/07/2016,696.4488
20/07/2016,697.7676
27/07/2016,697.6659
03/08/2016,698.5575
10/08/2016,699.5767
17/08/2016,700.2024
24/08/2016,700.841
31/08/2016,700.9575
07/09/2016,702.1308
14/09/2016,702.5939
21/09/2016,703.2998
28/09/2016,703.8154
05/10/2016,705.5708
12/10/2016,705.6661
19/10/2016,706.32
26/10/2016,705.146
02/11/2016,706.1787
09/11/2016,706.3323
16/11/2016,706.1622
23/11/2016,706.9047
30/11/2016,711.458
07/12/2016,711.051
14/12/2016,712.0995
21/12/2016,711.3192
28/12/2016,712.1667
04/01/2017,714.466
11/01/2017,712.9632
18/01/2017,714.9639
25/01/2017,713.2747
01/02/2017,714.8065
08/02/2017,715.5875
15/02/2017,714.875
22/02/2017,715.8287
01/03/2017,716.2851
08/03/2017,716.5532
15/03/2017,716.62
22/03/2017,717.8827
29/03/2017,717.136
05/04/2017,718.1713
12/04/2017,720.0589
19/04/2017,719.6932
26/04/2017,718.4909
03/05/2017,719.4247
10/05/2017,719.3518
17/05/2017,720.0214
24/05/2017,720.9898
31/05/2017,722.2248
07/06/2017,722.1103
14/06/2017,723.2599
21/06/2017,726.048
28/06/2017,726.2168
05/07/2017,728.2475
12/07/2017,728.7024
19/07/2017,728.8926
26/07/2017,728.4091
02/08/2017,728.9651
09/08/2017,730.2008
16/08/2017,729.4928
23/08/2017,730.8735
30/08/2017,731.7586
06/09/2017,733.058
13/09/2017,736.4171
20/09/2017,737.7871
27/09/2017,737.3106
04/10/2017,738.7566
11/10/2017,738.8301
18/10/2017,753.8042
25/10/2017,753.34
01/11/2017,755.7949
08/11/2017,758.7792
15/11/2017,759.169
22/11/2017,760.266
29/11/2017,763.7268
06/12/2017,762.5487
13/12/2017,762.853
20/12/2017,763.2479
27/12/2017,764.0508
03/01/2018,766.9557
10/01/2018,767.7948
17/01/2018,768.9392
24/01/2018,766.9081
31/01/2018,768.8883
07/02/2018,768.5364
14/02/2018,768.9949
21/02/2018,767.927
28/02/2018,768.1151
07/03/2018,770.321
14/03/2018,769.3418
21/03/2018,770.3757
28/03/2018,770.2458
04/04/2018,786.0321
11/04/2018,785.7074
18/04/2018,786.25
25/04/2018,786.3248
02/05/2018,786.5118
09/05/2018,787.7949
16/05/2018,788.3656
23/05/2018,788.9016
30/05/2018,792.3382
06/06/2018,792.1424
