DATE,personal_saving_rate
01/07/2017,7.6
01/08/2017,7.6
01/09/2017,7.3
01/10/2017,7.4
01/11/2017,6.9
01/12/2017,6.3
01/01/2018,7.1
01/02/2018,7.2
01/03/2018,7.2
01/04/2018,7.2
01/05/2018,7.2
01/06/2018,7.4
01/07/2018,7.5
01/08/2018,7.6
01/09/2018,7.7
01/10/2018,7.6
01/11/2018,7.5
01/12/2018,9.4
01/01/2019,9.3
01/02/2019,9.5
01/03/2019,9.1
01/04/2019,8.9
01/05/2019,8.6
01/06/2019,8.5
01/07/2019,8.4
01/08/2019,8.7
01/09/2019,8.9
01/10/2019,8.9
01/11/2019,8.9
01/12/2019,8.3
01/01/2020,9.1
01/02/2020,9.3
01/03/2020,13.8
01/04/2020,33.8
01/05/2020,24.9
01/06/2020,20.1
01/07/2020,19.2
01/08/2020,15.5
01/09/2020,14.6
01/10/2020,14
01/11/2020,13.3
01/12/2020,13.8
01/01/2021,20
01/02/2021,13.4
01/03/2021,26.3
01/04/2021,12.8
01/05/2021,10.3
01/06/2021,9.3
01/07/2021,9.9
01/08/2021,9.5
01/09/2021,7.9
01/10/2021,7.3
01/11/2021,7.1
01/12/2021,7.5
01/01/2022,4.7
01/02/2022,4.5
01/03/2022,3.8
01/04/2022,3.6
01/05/2022,3.4
01/06/2022,2.7
01/07/2022,3.5
01/08/2022,3.2
01/09/2022,3
01/10/2022,3.4
01/11/2022,4.1
01/12/2022,4.4
01/01/2023,4.5
01/02/2023,4.8
01/03/2023,5.1
